T-Pain,67,2005
PULLER,2,2017
Il Greco,42,2019
Charlie Puth,74,2019
Demi Lovato,43,2010
Lupe Fiasco,65,2007
Zuna,48,2016
Jessie J,39,2011
2Scratch,39,2018
The Deele,49,1987
Alok,61,2019
Daniel Caesar,69,2019
Miguel Rios,0,2005
Chicago,72,1984
Jay Slay,25,2019
Funky,44,2018
Daddy Yankee,1,2006
David Guetta,76,2019
Maroon 5,67,2019
FRENSHIP,73,2016
The Chainsmokers,52,2016
X Ambassadors,59,2015
Roberto Marín Muñoz,36,2019
The Turtles,74,1967
VANT,26,2020
Gloria Estefan,29,2007
2Pac,0,2007
Guns N' Roses,9,1991
The White Stripes,58,2003
Rique,1,2018
YoungBoy Never Broke Again,84,2019
Nu Shooz,38,1986
Becky G,78,2018
Olly James,43,2019
Ed Sheeran,84,2014
The Jets,43,1998
Arcangel,62,2008
Cheat Codes,43,2019
TENDER,35,2015
Max Styler,43,2020
Blasterjaxx,42,2016
Mario Winans,68,2016
2Pac,1,2007
Seven Lions,59,2019
DubVision,9,2019
Rhonda Vincent,1,2000
RL Grime,73,2018
Eazy-E,56,1988
R.K.M & Ken-Y,62,2016
New Radicals,73,1998
Robert Miles,67,1996
Capital Kings,49,2017
DuRu Tha King,25,2015
Demi Lovato,40,2010
Don Omar,0,2009
Vintage Culture,67,2018
Derian,45,2019
Fallen Roses,52,2020
Jauz,49,2019
India.Arie,48,2002
Nymano,61,2018
Erick Morillo,6,2018
Vicente Garcia,48,2019
Lou Rawls,52,2004
Big Sean,5,2015
Wolfmother,62,2006
AJR,56,2019
Black Sabbath,0,1972
Gorillaz,68,2001
Pitbull,65,2014
Ed Stockley,42,2019
Maggie Lindemann,57,2019
Louis The Child,70,2019
Fat Freddy's Drop,0,2013
Travis Scott,89,2019
Travel Light,20,2019
Ozuna,68,2019
Maluma,65,2017
Rompasso,1,2017
Don Omar,57,2010
Ludacris,13,2000
Aerosmith,25,2005
ZAYN,59,2017
D'Angelo,3,2008
Jão,63,2019
Manic Twister,51,2019
Far Out,12,2018
\Axwell /\\ Ingrosso\,36,2015
David Bowie,32,1997
The Delfonics,59,1970
Fifth Harmony,78,2016
Frank Ocean,78,2016
Whadi Gama,54,2019
Celo & Abdi,0,2017
Jeezy,0,2005
MESSIAH!,41,2019
SJUR,57,2016
Dalex,82,2019
ZZ Top,53,1992
Scarface,25,1991
Coldplay,78,2014
Wisin & Yandel,72,2018
Giaime,70,2019
Steve Miller Band,64,1976
Ed Sheeran,46,2017
Dabin,50,2019
Løyd,29,2019
Kings of Leon,52,2008
Ariana Grande,79,2016
Kevin Gates,70,2016
Rob Zombie,0,2001
Bohdi,27,2017
Della Humphrey,24,1967
Sampa the Great,42,2019
Brandy,38,1994
Gloria Estefan,45,1985
Boy Untitled,6,2019
Cartel De Santa,60,2014
D'Nell,0,2011
Janelle Monáe,38,2010
Justin Bieber,95,2020
TENDER,26,2019
Cruz,61,2019
The Rolling Stones,3,2016
Ballin Entertainment,0,2008
Tove Lo,65,2014
Patrick Topping,48,2017
Parov Stelar,42,2019
Alejandra Guzman,48,1990
Colorblind,39,2019
Michael Learns To Rock,36,2014
Rudy Mancuso,45,2017
Drake,83,2016
Drake,51,2011
Tinashe,67,2014
Yandel,68,2019
Seduction,30,1989
Pete Oak,5,2015
Thin Lizzy,3,1996
VIZE,72,2019
Handsome Boy Modeling School,2,2004
Logic,11,2019
Ricky Martin,67,2006
The Carters,54,2018
Lisa McClendon,0,2009
Pardison Fontaine,44,2019
Queens of the Stone Age,66,2013
Ty Dolla $ign,33,2016
twuan,48,2018
Deca,44,2013
Zedd,74,2012
Sammy & Falsetto,58,2012
Carlos Vives,10,2017
Throttle,0,2016
Rob Stepwart,14,2018
Kem,53,2004
Steve Medea,41,2019
Young the Giant,64,2011
Steve Miller Band,75,1973
Babyface,39,1992
Kamp!,35,2012
New Kids On The Block,54,1988
Cytrax,18,2019
KAROL G,73,2018
Stormzy,70,2020
Syden,0,2017
JessB,43,2019
Reik,79,2019
Brooks,60,2019
Breaking Benjamin,65,2006
Natixx,25,2019
BROHUG,39,2019
Julia Michaels,67,2019
