\Mountain\,68,1970,,,
\The Allman Brothers Band\,15,1970,,,
\Free\,70,1970,,,
\Derek & The Dominos\,74,1970,,,
\Grateful Dead\,64,1970,,,
\Black Sabbath\,68,1970,,,
\Bread\,64,1970,,,
\Elton John\,52,1970,,,
\Black Sabbath\,1,1970,,,
\Creedence Clearwater Revival\,3,1970,,,
\ZZ Top\,42,1970,,,
\The Band\,54,1970,,,
\George Harrison\,66,1970,,,
\Black Sabbath\,12,1970,,,
\Sly & The Family Stone\,49,1970,,,
\"Crosby\,\ Stills\,\ Nash & Young"\,58,1970,
\The Allman Brothers Band\,3,1970,,,
\Free\,10,1970,,,
\Van Morrison\,2,1970,,,
\Three Dog Night\,63,1970,,,
\The Velvet Underground\,66,1970,,,
\Black Sabbath\,76,1970,,,
\Creedence Clearwater Revival\,78,1970,,,
\The Beatles\,79,1970,,,
\George Harrison\,75,1970,,,
\The Kinks\,57,1970,,,
\George Harrison\,58,1970,,,
\George Harrison\,66,1970,,,
\George Harrison\,45,1970,,,
\George Harrison\,53,1970,,,
\Paul McCartney\,67,1970,,,
\Van Morrison\,69,1970,,,
\The Beatles\,63,1970,,,
\George Harrison\,59,1970,,,
\Black Sabbath\,68,1970,,,
\Black Sabbath\,1,1970,,,
\Creedence Clearwater Revival\,3,1970,,,
\Mountain\,68,1970,,,
\Sugarloaf\,47,1970,,,
\Led Zeppelin\,58,1970,,,
\Black Sabbath\,10,1970,,,
\Joni Mitchell\,69,1970,,,
\The Delfonics\,59,1970,,,
\The Velvet Underground\,61,1970,,,
\Charles Wright & The Watts 103rd Street Rhythm Band\,59,1970,,,
\Buddy Miles\,0,1970,,,
\Sly & The Family Stone\,54,1970,,,
\Van Morrison\,69,1970,,,
\The Rolling Stones\,3,1971,,,
\John Lennon\,66,1971,,,
\John Lennon\,45,1971,,,
\John Lennon\,47,1971,,,
\John Lennon\,53,1971,,,
\Jethro Tull\,65,1971,,,
\Focus\,49,1971,,,
\Caravan\,0,1971,,,
\Jethro Tull\,60,1971,,,
\Hawkwind\,39,1971,,,
\Wishbone Ash\,0,1971,,,
\Genesis\,33,1971,,,
\The Hollies\,63,1971,,,
\The Doors\,74,1971,,,
\The Who\,22,1971,,,
\The Rolling Stones\,16,1971,,,
\The Who\,15,1971,,,
\T. Rex\,62,1971,,,
\Carly Simon\,45,1971,,,
\Rod Stewart\,5,1971,,,
\Yes\,48,1971,,,
\Alice Cooper\,55,1971,,,
\The Who\,76,1971,,,
\The Who\,22,1971,,,
\The Rolling Stones\,66,1971,,,
