date,Ed Sheeran,Maroon 5,The Chainsmokers,Katy Perry,Sam Feldt,Avicii,Shawn Mendes,Martin Garrix,David Guetta,Steve Aoki,R3HAB,Marshmello,Kygo,Armin van Buuren,Billie Eilish,Sia,Calvin Harris,DJ Snake,Khalid,Jonas Blue,Zedd,Galantis,Tiësto,Justin Bieber,J Balvin,Dimitri Vegas & Like Mike,Deorro,Hardwell,Lauv,Alan Walker,Ariana Grande,KSHMR,Coldplay,Daddy Yankee,Halsey,Selena Gomez,Eminem,Major Lazer,The Weeknd,Post Malone,Afrojack,Frank Ocean,Young Thug,Camila Cabello,John Legend,Pitbull,Imagine Dragons,Travis Scott,Bad Bunny,Rihanna,Lynyrd Skynyrd,Led Zeppelin,Van Halen,Creedence Clearwater Revival,Bon Jovi,Scorpions,Queen,Guns N' Roses,Drake,Kendrick Lamar,Don Omar,Luis Fonsi,Lil Wayne,Javiera Mena,Snoop Dogg,OutKast,Future,Logic,Depeche Mode,U2,Aerosmith,Tyga,The Game,50 Cent,T.I.,2Pac,Rick Ross,Anderson .Paak,Cypress Hill,The Rolling Stones,Bobby Brown,The Notorious B.I.G.,Bassjackers,Ozuna,Farruko,Nicky Jam,Wisin & Yandel,オメガトライブ,The Cranberries,Janet Jackson,Miguel Rios,The Who,Gloria Estefan,Ballin Entertainment,Erykah Badu,Blasterjaxx,W&W,
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,18,44,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,69,21,3,0,0,0,0,0,0,0,0,0,0,0,48,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,36,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,39,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,10,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,8,39,0,0,0,0,0,0,0,0,39,0,0,43,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,72,37,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,0,2,0,35,0,0,0,0,0,0,63,0,0,0,0,0,6,0,0,0,0,21,0,0,55,0,9,0,0,0,0,0,0,0,55,53,0,0,46,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,51,0,0,7,36,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,34,48,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,45,0,0,0,0,0
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,70,0,0,0,0,22,24,0,0,0,0,0,0,0,59,0,0,0,0,31,0,0,0
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,61,5,74,0,0,0,0,26,0,0,34,0,0,0,0,0,0,0,0,0,0,0,47,0,45,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,45,0,0,0,0,29,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,51,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,51,63,0,0,0,54,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,33,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,8,0,0,0,0,0,0,0,28,0,0,0,0,4,0,0,0,32,1,0,0,29,0,0,0,0,0,0,65,0,0,35,0,0,0,0,0,0,0,0,0
2002,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,44,0,0,0,0,0,0,0,56,14,28,0,0,0,0,0,0,0,0,0,50,58,0,0,0,0,0,34,0,21,0,0,0
2004,0,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31,0,0,43,0,4,0,0,5,0,38,0,16,0,0,0,14,43,0,0,0,0,9,26,0,0,0,42,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,42,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,8,2,0,0,0,0,0,0,0,46,0,39,0,0,0,57,0,25,0,28,5,0,0,0,0,0,15,12,41,0,0,0,0,51,0,0,4,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,38,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,33,0,0,0,7,33,0,0,30,33,0,0,26,30,21,0,38,0,0,0,16,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
2007,0,59,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,36,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,39,18,0,0,0,0,25,59,0,0,0,0,45,0,0,0,0,0,30,0,0,0,0,0
2008,0,0,0,53,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,40,0,59,0,0,0,0,0,0,0,0,16,0,0,0,0,51,0,0,0,0,0,0,0,36,0,0,58,68,62,0,0,0,0,0,0,0,0,0,15,0,55,0,27,0,0,0,0,0,0,0,0,0,40,0,0,26,0,0,0,0,5,0,0,0
2009,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,47,0,29,0,0,0,0,0,0,0,63,0,0,0,50,0,0,0,1,0,0,0,0,23,0,35,0,43,0,0,0,0,0,0,45,0,0,0,0,35,0,0,0,0,0,26,60,0,0,0,57,31,0,0,0,0,3,39,0,0,0,0,0
2010,0,66,0,62,0,9,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,39,0,0,82,0,0,0,0,0,0,0,42,0,0,0,0,59,0,0,0,0,6,43,0,0,69,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,30,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,41,0,0,0
2011,50,6,0,0,0,35,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,20,0,0,0,0,77,0,0,50,0,0,0,0,16,68,0,0,0,70,0,0,0,49,0,0,0,0,0,63,44,0,67,15,0,0,48,11,29,0,0,0,34,0,31,6,0,0,0,31,0,0,0,0,0,0,0,0,53,0,0,28,0,0,0,0,51,0,0,0,0,0
2012,0,60,0,69,0,43,0,0,57,18,0,0,0,0,0,0,60,0,0,0,47,0,8,72,0,0,0,50,0,0,0,0,50,62,0,0,0,0,61,0,42,65,0,0,63,49,48,0,0,56,0,0,0,0,0,0,0,0,10,51,44,0,0,0,3,0,32,0,0,0,0,54,1,0,0,0,10,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,31,0
2013,62,0,0,68,0,48,0,6,66,0,0,0,0,40,0,0,39,65,0,0,1,0,1,36,46,16,29,34,0,0,67,0,0,24,0,65,25,10,43,0,0,0,0,0,80,0,45,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,41,0,0,58,0,0,0,0,42,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,15,25,0
2014,70,4,60,0,0,42,0,14,52,43,15,0,0,28,0,73,61,9,0,0,11,32,38,0,35,19,23,24,0,0,35,17,58,0,0,68,48,37,0,0,14,51,2,0,64,52,0,0,0,0,0,0,0,0,0,46,0,0,0,0,17,64,0,0,0,0,0,44,28,45,0,31,0,0,0,0,7,41,43,0,39,0,15,47,2,58,0,0,0,0,0,3,0,0,0,17,36,0
2015,53,70,66,0,62,32,69,25,55,43,32,0,46,20,0,71,51,6,0,37,20,55,28,73,5,25,45,28,0,54,0,0,65,62,31,67,1,27,47,3,0,0,60,0,0,20,26,77,0,28,0,0,0,0,0,0,0,0,28,5,49,0,0,0,0,0,66,40,0,0,0,33,31,0,37,0,0,44,0,0,0,0,27,0,26,0,0,0,0,0,0,0,0,0,0,25,33,0
2016,0,9,62,0,10,0,13,45,66,41,26,35,67,25,0,59,61,38,0,33,1,63,2,0,43,32,57,28,0,24,66,16,71,68,40,0,0,41,54,84,0,68,56,0,56,0,0,81,13,33,0,0,0,0,0,0,0,0,42,0,47,0,77,19,42,0,29,59,0,0,0,27,37,59,0,0,0,55,0,3,0,0,18,5,50,19,0,0,0,0,0,0,0,0,0,29,43,0
2017,75,10,61,48,11,56,54,59,68,42,51,65,50,21,77,0,71,29,74,51,58,46,0,76,44,50,57,24,50,48,22,46,0,46,52,68,0,12,0,35,3,70,57,46,0,51,39,7,51,0,0,0,0,0,0,56,0,0,50,62,49,53,0,0,0,0,57,48,0,33,0,0,0,0,0,0,48,0,0,0,0,0,1,64,54,71,0,0,0,0,0,0,0,0,0,32,31,0
2018,26,79,38,0,46,6,55,62,61,41,57,65,69,52,62,9,65,69,73,60,82,58,49,0,64,58,41,58,70,72,49,55,0,74,81,41,75,51,22,70,0,70,67,81,0,47,59,81,62,0,0,0,0,0,0,0,59,58,41,79,0,72,71,29,0,0,46,63,0,0,0,77,0,0,0,0,0,0,33,0,0,0,0,57,3,55,56,0,0,40,0,0,0,0,0,41,51,0
2019,78,91,56,69,73,71,86,68,65,37,63,71,74,51,87,67,60,62,75,67,65,61,50,0,82,59,16,47,77,79,74,57,72,85,70,90,0,71,96,66,54,79,82,83,67,69,71,91,88,0,0,0,51,0,56,0,0,0,77,0,61,70,0,0,50,0,66,15,0,0,0,76,61,0,0,0,64,42,0,0,0,0,43,71,66,59,77,0,41,0,0,35,0,0,0,47,57,0
2020,0,0,0,0,70,0,0,0,61,35,62,0,0,8,0,72,0,0,83,0,52,57,0,95,82,55,50,0,71,0,0,0,0,0,82,83,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0
